 format: day,hour,forecast,value  location:98_79 Start : 20250101 
 1,0200,+6,8.000000 
 1,0200,+7,5.000000 
 1,0200,+8,4.000000 
 1,0200,+9,2.000000 
 1,0200,+10,1.000000 
 1,0200,+11,0.000000 
 1,0200,+12,-1.000000 
 1,0200,+13,-1.000000 
 1,0200,+14,-1.000000 
 1,0200,+15,-2.000000 
 1,0200,+16,-2.000000 
 1,0200,+17,-2.000000 
 1,0200,+18,-2.000000 
 1,0200,+19,-2.000000 
 1,0200,+20,-2.000000 
 1,0200,+21,-2.000000 
 1,0200,+22,1.000000 
 1,0200,+23,5.000000 
 1,0200,+24,9.000000 
 1,0200,+25,10.000000 
 1,0200,+26,11.000000 
 1,0200,+27,12.000000 
 1,0200,+28,12.000000 
 1,0200,+29,11.000000 
 1,0200,+30,9.000000 
 1,0200,+31,6.000000 
 1,0200,+32,4.000000 
 1,0200,+33,2.000000 
 1,0200,+34,2.000000 
 1,0200,+35,0.000000 
 1,0200,+36,0.000000 
 1,0200,+37,0.000000 
 1,0200,+38,-1.000000 
 1,0200,+39,-1.000000 
 1,0200,+40,-1.000000 
 1,0200,+41,-1.000000 
 1,0200,+42,-1.000000 
 1,0200,+43,-1.000000 
 1,0200,+44,-1.000000 
 1,0200,+45,-2.000000 
 1,0200,+46,0.000000 
 1,0200,+47,2.000000 
 1,0200,+48,4.000000 
 1,0200,+49,5.000000 
 1,0200,+50,5.000000 
 1,0200,+51,6.000000 
 1,0200,+52,6.000000 
 1,0200,+53,6.000000 
 1,0200,+54,4.000000 
 1,0200,+55,3.000000 
 1,0200,+56,1.000000 
 1,0200,+57,-1.000000 
 1,0200,+58,-1.000000 
 1,0200,+59,-2.000000 
 1,0200,+60,-3.000000 
 1,0200,+61,-3.000000 
 1,0200,+64,-4.000000 
 1,0200,+67,-5.000000 
 1,0200,+70,-2.000000 
 1,0200,+73,6.000000 
 1,0200,+76,8.000000 
 1,0200,+79,3.000000 
 1,0200,+82,-2.000000 
 1,0200,+85,-3.000000 
 1,0500,+6,2.000000 
 1,0500,+7,1.000000 
 1,0500,+8,0.000000 
 1,0500,+9,-1.000000 
 1,0500,+10,-1.000000 
 1,0500,+11,-1.000000 
 1,0500,+12,-2.000000 
 1,0500,+13,-2.000000 
 1,0500,+14,-2.000000 
 1,0500,+15,-2.000000 
 1,0500,+16,-2.000000 
 1,0500,+17,-2.000000 
 1,0500,+18,-2.000000 
 1,0500,+19,1.000000 
 1,0500,+20,5.000000 
 1,0500,+21,9.000000 
 1,0500,+22,10.000000 
 1,0500,+23,11.000000 
 1,0500,+24,12.000000 
 1,0500,+25,12.000000 
 1,0500,+26,11.000000 
 1,0500,+27,9.000000 
 1,0500,+28,6.000000 
 1,0500,+29,4.000000 
 1,0500,+30,2.000000 
 1,0500,+31,2.000000 
 1,0500,+32,0.000000 
 1,0500,+33,0.000000 
 1,0500,+34,0.000000 
 1,0500,+35,-1.000000 
 1,0500,+36,-1.000000 
 1,0500,+37,-1.000000 
 1,0500,+38,-1.000000 
 1,0500,+39,-1.000000 
 1,0500,+40,-1.000000 
 1,0500,+41,-1.000000 
 1,0500,+42,-2.000000 
 1,0500,+43,0.000000 
 1,0500,+44,2.000000 
 1,0500,+45,4.000000 
 1,0500,+46,5.000000 
 1,0500,+47,5.000000 
 1,0500,+48,6.000000 
 1,0500,+49,6.000000 
 1,0500,+50,6.000000 
 1,0500,+51,4.000000 
 1,0500,+52,3.000000 
 1,0500,+53,1.000000 
 1,0500,+54,-1.000000 
 1,0500,+55,-1.000000 
 1,0500,+56,-2.000000 
 1,0500,+57,-3.000000 
 1,0500,+58,-3.000000 
 1,0500,+61,-4.000000 
 1,0500,+64,-5.000000 
 1,0500,+67,-2.000000 
 1,0500,+70,6.000000 
 1,0500,+73,8.000000 
 1,0500,+76,3.000000 
 1,0500,+79,-2.000000 
 1,0500,+82,-3.000000 
 1,0800,+6,-1.000000 
 1,0800,+7,-1.000000 
 1,0800,+8,-1.000000 
 1,0800,+9,-2.000000 
 1,0800,+10,-2.000000 
 1,0800,+11,-2.000000 
 1,0800,+12,-2.000000 
 1,0800,+13,-2.000000 
 1,0800,+14,-2.000000 
 1,0800,+15,-2.000000 
 1,0800,+16,2.000000 
 1,0800,+17,6.000000 
 1,0800,+18,9.000000 
 1,0800,+19,10.000000 
 1,0800,+20,11.000000 
 1,0800,+21,12.000000 
 1,0800,+22,12.000000 
 1,0800,+23,11.000000 
 1,0800,+24,9.000000 
 1,0800,+25,6.000000 
 1,0800,+26,4.000000 
 1,0800,+27,2.000000 
 1,0800,+28,1.000000 
 1,0800,+29,1.000000 
 1,0800,+30,0.000000 
 1,0800,+31,0.000000 
 1,0800,+32,0.000000 
 1,0800,+33,-1.000000 
 1,0800,+34,-1.000000 
 1,0800,+35,-1.000000 
 1,0800,+36,-1.000000 
