 format: day,hour,forecast,value  location:97_75 Start : 20250101 
 1,0200,+6,40.000000 
 1,0200,+7,50.000000 
 1,0200,+8,55.000000 
 1,0200,+9,60.000000 
 1,0200,+10,60.000000 
 1,0200,+11,60.000000 
 1,0200,+12,60.000000 
 1,0200,+13,60.000000 
 1,0200,+14,65.000000 
 1,0200,+15,65.000000 
 1,0200,+16,65.000000 
 1,0200,+17,65.000000 
 1,0200,+18,65.000000 
 1,0200,+19,65.000000 
 1,0200,+20,65.000000 
 1,0200,+21,65.000000 
 1,0200,+22,60.000000 
 1,0200,+23,50.000000 
 1,0200,+24,40.000000 
 1,0200,+25,30.000000 
 1,0200,+26,25.000000 
 1,0200,+27,25.000000 
 1,0200,+28,20.000000 
 1,0200,+29,20.000000 
 1,0200,+30,30.000000 
 1,0200,+31,40.000000 
 1,0200,+32,40.000000 
 1,0200,+33,40.000000 
 1,0200,+34,40.000000 
 1,0200,+35,40.000000 
 1,0200,+36,40.000000 
 1,0200,+37,40.000000 
 1,0200,+38,40.000000 
 1,0200,+39,40.000000 
 1,0200,+40,40.000000 
 1,0200,+41,40.000000 
 1,0200,+42,35.000000 
 1,0200,+43,35.000000 
 1,0200,+44,35.000000 
 1,0200,+45,40.000000 
 1,0200,+46,40.000000 
 1,0200,+47,35.000000 
 1,0200,+48,30.000000 
 1,0200,+49,30.000000 
 1,0200,+50,25.000000 
 1,0200,+51,20.000000 
 1,0200,+52,15.000000 
 1,0200,+53,15.000000 
 1,0200,+54,20.000000 
 1,0200,+55,25.000000 
 1,0200,+56,30.000000 
 1,0200,+57,40.000000 
 1,0200,+58,45.000000 
 1,0200,+59,50.000000 
 1,0200,+60,50.000000 
 1,0200,+61,50.000000 
 1,0200,+64,55.000000 
 1,0200,+67,55.000000 
 1,0200,+70,50.000000 
 1,0200,+73,35.000000 
 1,0200,+76,30.000000 
 1,0200,+79,45.000000 
 1,0200,+82,55.000000 
 1,0200,+85,60.000000 
 1,0500,+6,60.000000 
 1,0500,+7,60.000000 
 1,0500,+8,60.000000 
 1,0500,+9,60.000000 
 1,0500,+10,60.000000 
 1,0500,+11,65.000000 
 1,0500,+12,65.000000 
 1,0500,+13,65.000000 
 1,0500,+14,65.000000 
 1,0500,+15,65.000000 
 1,0500,+16,65.000000 
 1,0500,+17,65.000000 
 1,0500,+18,65.000000 
 1,0500,+19,60.000000 
 1,0500,+20,50.000000 
 1,0500,+21,40.000000 
 1,0500,+22,30.000000 
 1,0500,+23,25.000000 
 1,0500,+24,25.000000 
 1,0500,+25,20.000000 
 1,0500,+26,20.000000 
 1,0500,+27,30.000000 
 1,0500,+28,40.000000 
 1,0500,+29,40.000000 
 1,0500,+30,40.000000 
